,PosSite_Di,NegSite_Di,Local-Stru,Local-Quat,Local-Qu_1,Local-Qu_2,Quaternary,Quaterna_1,GeodeticSt,Quaterna_2,FaultRecen,FaultSlipD,Earthquake,HorizGravi,HorizMagne,GravityDen,MagneticDe,Heatflow,Geochemist,Local-St_1,Local-Qu_3,Local-Qu_4,Local-Qu_5,Quaterna_3,HorizGra_1,Geodetic_1,Quaterna_4,FaultRec_1,Earthqua_1,Heatflow_E,HorizGra_2,HorizMag_1,Hillshade-,DEM-30m,Fairway
3658,10424.555903,557.31004428,0.0,0.0,0.0,0.0,0,48,0.872928,-2.3315101,2.5889399,0.74479,1.86629,0.0024451,1.33e-05,22,14,64.233902,-9999.0,0.0,0.0,0.0,0.0,0.1,0.273004,0.77579,0.765817,0.39113,0.353839,18.8290005,0.674817,2,180,1436,38.7799988
3659,10187.1185915,740.38099923,0.0,0.0,0.0,0.0,0,47,0.872928,-2.3315101,2.5889399,0.74443,1.87795,0.0022985,1.33e-05,24,13,64.2250977,-9999.0,0.0,0.0,0.0,0.0,0.1,0.273004,0.775819,0.753799,0.384896,0.353051,18.8043995,0.713014,2,180,1436,38.7999992
3660,9950.29671015,954.32361523,0.0,0.0,0.0,0.0,0,46,0.872928,-2.3315101,2.5889399,0.743803,1.88366,0.0021385,1.33e-05,25,13,64.2198029,-9999.0,0.0,0.0,0.0,0.0,0.1,0.242606,0.775849,0.741856,0.378698,0.352664,18.7817001,0.713014,2,180,1436,38.589901
3680,5466.14974792,1046.87425675,0.0,0.0,0.0,0.0,0,26,0.88561,-2.1029899,2.4943099,0.760039,1.8481899,0.0026917,1.07e-05,19,21,64.7851028,-9999.0,0.0,0.0,0.0,0.0,0.1,0.363269,0.772807,0.526694,0.266652,0.355062,18.7199001,0.674817,2,180,1437,40.9034996
3681,5266.38514439,827.62622633,0.0,0.0,0.0,0.0,0,25,0.88561,-2.1029899,2.4943099,0.759266,1.86034,0.0028136,1.07e-05,18,20,64.8444977,-9999.0,0.0,0.0,0.0,0.0,0.1,0.363269,0.772612,0.517662,0.261925,0.354241,18.7383003,0.789409,2,180,1437,40.9244003
3682,5071.07798317,631.65230275,0.0,0.0,0.0,0.0,0,24,0.88561,-2.07781,2.48453,0.758945,1.8481899,0.0029463,1.07e-05,17,19,64.9067001,-9999.0,0.0,0.0,0.0,0.0,0.1,0.393117,0.772417,0.508864,0.257317,0.355062,18.7591991,0.789409,2,180,1437,41.1867981
3683,4880.76339661,487.85663123,0.0,0.0,0.0,0.0,0,23,0.88561,-2.07781,2.48453,0.759278,1.85431,0.0031012,1.07e-05,16,18,64.971199,-9999.0,0.0,0.0,0.0,0.0,0.1,0.393117,0.772222,0.500312,0.252835,0.354649,18.7826004,0.763944,2,180,1438,41.1973
3684,4696.04841926,449.47030347,0.6,0.9,0.3,0.5,0,22,0.88561,-2.07781,2.48453,0.759547,1.85431,0.0032874,1.07e-05,14,18,65.0382004,-9999.0,0.15,0.18,0.3,0.125,0.1,0.426264,0.772027,0.49202,0.248487,0.354649,18.8085995,0.789409,2,180,1438,49.2776985
3685,4517.61996834,539.48402642,0.6,0.9,0.3,0.5,0,21,0.88561,-2.07781,2.48453,0.759506,1.85431,0.0035133,1.08e-05,13,17,65.1074982,-9999.0,0.15,0.18,0.3,0.125,0.1,0.463114,0.771831,0.484001,0.244279,0.354649,18.8370991,0.789409,2,180,1439,49.5298004
3686,4346.25236275,710.67747666,0.6,0.9,0.3,0.5,0,20,0.88561,-2.04668,2.4725299,0.759839,1.8481899,0.0037864,1.08e-05,11,17,65.1789017,-9999.0,0.15,0.18,0.3,0.125,0.1,0.463114,0.771636,0.476268,0.240219,0.355062,18.8684006,0.85307,2,181,1439,50.8754997
